ISBN;Titolo;Sottotitolo;Autore;Formato;Numero di pagine;Editore;Data di pubblicazione;Note private;Titolo Commento;Contenuto Commento;Stato di lettura;Voto;Tags
9791254880975;Libert� di avere tre idee contrastanti;74� Premio Michetti;;Paperback;133;Ianieri Edizioni;2023-xx-xx;;;;;;
9788889490662;Nonluoghi;Introduzione a una antropologia della surmodernit�;Marc Aug�;Paperback;110;El�uthera;2008-12-22;;;;;5;
9788894291445;La natura delle cose;;;Paperback;64;Ybrano;2023-06-16;;;;;;
9788889987698;Linee di fuga;Architettura, teoria, politica;Marco Assennato;Paperback;152;:duepunti edizioni;2011-11-01;;;;;;
9788884164148;La prospettiva come �forma simbolica�;;Erwin Panofsky;Paperback;173;Abscondita;2013-07-02;;;;;;
9788896238882;Conflitti ambientali;biodiversita e democrazia della terra;;Paperback;252;Edizioni Ambiente;2010-10-05;;;;;;
9788866814085;Atlante delle guerre e dei conflitti del mondo;;;Paperback;244;Terra Nuova Edizioni;2018-09-05;;;;;;
9788866810759;Atlante delle guerre e dei conflitti del mondo;;;Paperback;248;Terra Nuova Edizioni;2015-03-19;;;;;;
9788866815242;Atlante delle guerre e dei conflitti del mondo;;;Paperback;231;Terra Nuova Edizioni;2019-11-13;;;;;;
9788894718638;Bertozzi e gli inisti dal 1980 ad oggi. Ediz. italiana e inglese;;;Paperback;248;Fondazione Pescarabruzzo;2023-01-21;;;;;;
9788874526321;L'alleanza dei corpi;Note per una teoria performativa dell'azione collettiva;Judith Butler;Paperback;347;Nottetempo;2017-02-09;;;;;;
9788823018655;Con Carla Lonzi;La mia vita � la mia opera;Maria Luisa Boccia;Paperback;149;Futura;2014-06-11;;;;;;
9788832904109;Madri, mostri e macchine;;Rosi Braidotti;Paperback;128;Castelvecchi;2021-09-30;;;;;;
9788867183074;Metropoliz, citt� meticcia. Storia militante di un'occupazione abitativa;;Margherita Grazioli;Paperback;236;Red Star Press;2022-01-19;;;;;4.5;
;Sessualit� e vita amorosa;;Sigmund Freud;Paperback;260;Newton Compton editori;1992-01-01;;;;;;
9788888738024;La domesticazione sociale. Sulla modernit� e il disagio che la governa;;Gianni-Emilio Simonetti;Paperback;168;DeriveApprodi;2003-02-17;;;;;;IN PRESTITO
9788889490976;Un'idea esagerata di libert�;Introduzione al pensiero anarchico;Giampietro N. Berti;Paperback;190;El�uthera;2011-10-14;;;;;;
9788889490860;La cucina della filibusta;;Melani Le Bris;Paperback;223;El�uthera;2010-03-15;;;;;;
